State Name,City Name,Year,Month,Day of Week,Time of Day,Accident Severity,Number of Vehicles Involved,Vehicle Type Involved,Number of Casualties,Number of Fatalities,Weather Conditions,Road Type,Road Condition,Lighting Conditions,Traffic Control Presence,Speed Limit (km/h),Driver Age,Driver Gender,Driver License Status,Alcohol Involvement,Accident Location Details,address_for_geocode,latitude,longitude,reverse_address,location_name
Himachal Pradesh,Unknown,2020,April,Thursday,22:25,Minor,5,Pedestrian,1,3,Hazy,National Highway,Dry,Dusk,Signals,35,49,Female,,No,Straight Road,"Unknown, Himachal Pradesh",32.176123,76.6980857,"Unknown Tea Shop, Jalsu Binwa Stream, Kangra, -, Himachal Pradesh, India",Jalsu Binwa Stream
Uttar Pradesh,Kanpur,2018,August,Tuesday,16:49,Fatal,3,Bus,1,4,Clear,National Highway,Wet,Dusk,,46,41,Male,Valid,No,Curve,"Kanpur, Uttar Pradesh",26.4609135,80.3217588,"Kalpi Road, Kanpur Nagar, Kanpur - 208022, Uttar Pradesh, India",Kanpur Nagar
Assam,Unknown,2021,September,Saturday,23:22,Serious,1,Cycle,2,3,Hazy,Village Road,Under Construction,Daylight,Signs,46,55,Female,,No,Straight Road,"Unknown, Assam",26.492533,92.3308789,"unnamed road, Marigaon, -, Assam, India",Marigaon
Bihar,Unknown,2020,June,Wednesday,6:47,Serious,5,Car,0,0,Foggy,State Highway,Wet,Dusk,Signals,98,44,Female,Valid,No,Bridge,"Unknown, Bihar",47.053215,21.9345955,"Statue of the Unknown Soldier, Piața 1 Decembrie, 410068 Oradea, Romania",Piața 1 Decembrie
Telangana,Unknown,2021,August,Friday,18:57,Serious,3,Bus,6,3,Foggy,National Highway,Wet,Dawn,Police Checkpost,47,54,Male,Valid,No,Intersection,"Unknown, Telangana",17.83333,79.08333,"Jangaon, Bonakallur - 500010, Telangana, India",Bonakallur - 500010
Arunachal Pradesh,Unknown,2018,August,Friday,12:6,Minor,4,Cycle,4,5,Stormy,State Highway,Under Construction,Dusk,Signals,60,44,Female,,No,Curve,"Unknown, Arunachal Pradesh",27.06,93.37,"Sangdupota (Basar Nello), Sangdupota Basar Nello Circle, India",Sangdupota Basar Nello Circle
Andhra Pradesh,Tirupati,2019,October,Sunday,12:47,Minor,2,Cycle,7,4,Rainy,Village Road,Damaged,Dark,Signs,90,51,Female,Valid,No,Curve,"Tirupati, Andhra Pradesh",13.6316368,79.4231711,"Gangamma Temple Road, Tirupati, Tirupati - 517500, Andhra Pradesh, India",Tirupati
Karnataka,Bangalore,2023,October,Thursday,18:59,Fatal,5,Car,10,2,Hazy,Village Road,Wet,Dark,Signs,114,51,Female,Expired,No,Intersection,"Bangalore, Karnataka",12.9767936,77.590082,"Doctor B R Ambedkar Veedhi, Gandhinagar, Bengaluru - 560001, Karnataka, India",Gandhinagar
Sikkim,Unknown,2023,November,Wednesday,10:51,Serious,3,Auto-Rickshaw,7,1,Rainy,National Highway,Under Construction,Dawn,Signs,80,55,Male,Valid,Yes,Bridge,"Unknown, Sikkim",27.75,88.5,"Lachen, Chungthang, India",Chungthang
Chhattisgarh,Unknown,2022,April,Saturday,6:39,Fatal,3,Car,7,5,Foggy,State Highway,Wet,Daylight,Signs,46,57,Female,Valid,Yes,Straight Road,"Unknown, Chhattisgarh",21.5,82.0,"unnamed road, Baloda Bazar, - 493196, Chhattisgarh, India",Baloda Bazar
Madhya Pradesh,Unknown,2018,June,Tuesday,8:10,Serious,5,Two-Wheeler,6,3,Rainy,Urban Road,Dry,Dusk,Signals,30,20,Female,Expired,Yes,Bridge,"Unknown, Madhya Pradesh",21.8464578,79.9459294,"Unknown, Waraseoni Tahsil, India",Waraseoni Tahsil
Puducherry,Unknown,2022,February,Wednesday,1:35,Serious,2,Car,10,3,Hazy,Urban Road,Dry,Dusk,Signs,55,41,Female,Valid,No,Straight Road,"Unknown, Puducherry",11.93381,79.82979,"Petit Seminaire higher secondary school, 355, Needarajapayar Street, Grand Bazaar, Puducherry - 605001, Puducherry, India",355
Uttar Pradesh,Varanasi,2022,July,Friday,18:51,Fatal,1,Two-Wheeler,9,4,Clear,National Highway,Wet,Dawn,Signals,34,23,Female,Expired,Yes,Bridge,"Varanasi, Uttar Pradesh",25.3356491,83.0076292,"unnamed road, Pilokothi, Varanasi - 221001, Uttar Pradesh, India",Pilokothi
Maharashtra,Nagpur,2022,December,Tuesday,13:34,Serious,3,Cycle,1,3,Foggy,National Highway,Dry,Daylight,,106,48,Male,,No,Intersection,"Nagpur, Maharashtra",21.1498134,79.0820556,"Vasantrao Naik Government Institute of Arts and Social Sciences, NH53, Ramdaspeth, Nagpur - 440001, Maharashtra, India",NH53
Jammu and Kashmir,Unknown,2022,February,Monday,3:29,Serious,1,Two-Wheeler,1,1,Foggy,Urban Road,Damaged,Dawn,Police Checkpost,31,20,Male,,No,Straight Road,"Unknown, Jammu and Kashmir",33.91667,76.66667,"Rangdun-Lingshed, Sham Valley, -, Ladakh, India",Sham Valley
Tamil Nadu,Madurai,2018,August,Tuesday,11:10,Fatal,3,Auto-Rickshaw,2,2,Stormy,National Highway,Wet,Daylight,Police Checkpost,92,43,Female,,Yes,Intersection,"Madurai, Tamil Nadu",9.9261153,78.1140983,"unnamed road, Arappalayam, Madurai - 625010, Tamil Nadu, India",Arappalayam
Madhya Pradesh,Unknown,2019,April,Wednesday,15:58,Minor,2,Pedestrian,7,5,Clear,State Highway,Under Construction,Daylight,Police Checkpost,71,65,Male,,No,Straight Road,"Unknown, Madhya Pradesh",21.8464578,79.9459294,"Unknown, Waraseoni Tahsil, India",Waraseoni Tahsil
Madhya Pradesh,Unknown,2023,August,Wednesday,0:54,Fatal,1,Car,10,1,Stormy,National Highway,Damaged,Dusk,,90,64,Female,Expired,No,Bridge,"Unknown, Madhya Pradesh",21.8464578,79.9459294,"Unknown, Waraseoni Tahsil, India",Waraseoni Tahsil
Chandigarh,Unknown,2019,March,Friday,15:42,Serious,2,Bus,8,0,Stormy,Village Road,Wet,Daylight,Signals,83,31,Female,Expired,No,Curve,"Unknown, Chandigarh",30.73629,76.7884,"unnamed road, Sector 18, Chandigarh - 160018, Chandigarh, India",Sector 18
Uttar Pradesh,Varanasi,2018,May,Sunday,10:53,Minor,3,Two-Wheeler,2,1,Hazy,National Highway,Under Construction,Dusk,,33,24,Female,Valid,Yes,Straight Road,"Varanasi, Uttar Pradesh",25.3356491,83.0076292,"unnamed road, Pilokothi, Varanasi - 221001, Uttar Pradesh, India",Pilokothi
Gujarat,Surat,2019,March,Thursday,15:1,Fatal,2,Car,7,0,Stormy,State Highway,Under Construction,Dawn,Signs,69,51,Female,Valid,No,Bridge,"Surat, Gujarat",21.2094892,72.8317058,"Ashkta Ashram Road, Surat, Surat - 395003, Gujarat, India",Surat
Uttar Pradesh,Lucknow,2022,November,Tuesday,9:25,Fatal,1,Bus,0,3,Clear,National Highway,Under Construction,Dark,Signals,53,63,Male,Valid,No,Straight Road,"Lucknow, Uttar Pradesh",26.8381,80.9346001,"unnamed road, Ganesh Ganj, Lucknow - 226001, Uttar Pradesh, India",Ganesh Ganj
Maharashtra,Mumbai,2020,July,Saturday,23:21,Serious,5,Bus,6,2,Hazy,Urban Road,Damaged,Dawn,Signs,82,68,Female,Valid,No,Curve,"Mumbai, Maharashtra",19.054999,72.8692035,"Lal Bahadur Shastri Marg, L Ward, Mumbai - 400024, Maharashtra, India",L Ward
Odisha,Unknown,2018,July,Thursday,12:1,Minor,3,Auto-Rickshaw,7,2,Stormy,State Highway,Damaged,Dark,Signs,79,41,Male,Valid,Yes,Curve,"Unknown, Odisha",18.9668959,84.3684974,"Unknown Temple, Bhima point tracking Path, Gajapati, Burakhat, Odisha, India",Bhima point tracking Path
Telangana,Unknown,2023,August,Saturday,17:37,Minor,2,Pedestrian,8,3,Stormy,National Highway,Dry,Dawn,,30,40,Male,,Yes,Bridge,"Unknown, Telangana",17.83333,79.08333,"Jangaon, Bonakallur - 500010, Telangana, India",Bonakallur - 500010
West Bengal,Durgapur,2023,February,Sunday,11:2,Serious,3,Cycle,9,5,Hazy,Village Road,Damaged,Dark,,106,25,Female,Expired,Yes,Straight Road,"Durgapur, West Bengal",23.5350475,87.3380425,"unnamed road, Paschim Bardhaman, Durgapur - 713200, West Bengal, India",Paschim Bardhaman
Kerala,Unknown,2019,January,Tuesday,16:3,Fatal,2,Car,3,1,Foggy,State Highway,Damaged,Dawn,,102,32,Female,Expired,No,Bridge,"Unknown, Kerala",9.9627112,76.2897971,"Manikkath Road, Perumanoor, Ernakulam - 680016, Kerala, India",Perumanoor
Assam,Unknown,2020,July,Thursday,19:18,Minor,2,Car,1,5,Foggy,National Highway,Under Construction,Dawn,,48,69,Female,Expired,No,Curve,"Unknown, Assam",26.492533,92.3308789,"unnamed road, Marigaon, -, Assam, India",Marigaon
Nagaland,Unknown,2018,June,Saturday,17:43,Minor,5,Truck,5,3,Foggy,Urban Road,Under Construction,Dusk,Police Checkpost,32,65,Male,Valid,No,Intersection,"Unknown, Nagaland",26.08333,94.5,"Atoizu, India",India
Meghalaya,Unknown,2022,February,Monday,6:20,Serious,1,Truck,4,1,Hazy,Urban Road,Under Construction,Dusk,Signs,59,60,Male,Valid,No,Straight Road,"Unknown, Meghalaya",25.5,91.33333,"West Khasi Hills, Nongstoin - 793119, Meghalaya, India",Nongstoin - 793119
Chhattisgarh,Unknown,2022,February,Wednesday,17:8,Fatal,2,Truck,5,5,Rainy,National Highway,Under Construction,Daylight,,88,53,Female,Expired,No,Bridge,"Unknown, Chhattisgarh",21.5,82.0,"unnamed road, Baloda Bazar, - 493196, Chhattisgarh, India",Baloda Bazar
Gujarat,Surat,2022,July,Tuesday,20:19,Serious,5,Auto-Rickshaw,2,2,Foggy,Village Road,Damaged,Dusk,Signs,83,56,Male,Valid,No,Intersection,"Surat, Gujarat",21.2094892,72.8317058,"Ashkta Ashram Road, Surat, Surat - 395003, Gujarat, India",Surat
West Bengal,Kolkata,2020,April,Friday,7:58,Minor,2,Auto-Rickshaw,2,5,Clear,State Highway,Under Construction,Dawn,,58,47,Female,Valid,No,Bridge,"Kolkata, West Bengal",22.5726459,88.3638953,"Chatterjee Lane, Bowbazar, Kolkata - 700073, West Bengal, India",Bowbazar
West Bengal,Kolkata,2018,December,Sunday,7:46,Serious,5,Cycle,2,5,Rainy,Village Road,Damaged,Dark,Signals,30,20,Male,Valid,Yes,Straight Road,"Kolkata, West Bengal",22.5726459,88.3638953,"Chatterjee Lane, Bowbazar, Kolkata - 700073, West Bengal, India",Bowbazar
Tripura,Unknown,2022,February,Sunday,10:52,Serious,1,Truck,8,1,Foggy,National Highway,Damaged,Dawn,Signs,104,42,Male,Valid,No,Curve,"Unknown, Tripura",24.0,92.0,"unnamed road, Dhalai, Manu - 799275, Tripura, India",Dhalai
Karnataka,Bangalore,2021,February,Wednesday,22:36,Minor,3,Truck,1,5,Rainy,Urban Road,Under Construction,Dark,Police Checkpost,93,44,Male,,Yes,Intersection,"Bangalore, Karnataka",12.9767936,77.590082,"Doctor B R Ambedkar Veedhi, Gandhinagar, Bengaluru - 560001, Karnataka, India",Gandhinagar
West Bengal,Durgapur,2021,November,Friday,9:4,Minor,3,Auto-Rickshaw,4,4,Foggy,State Highway,Damaged,Dark,Signs,82,53,Male,,No,Intersection,"Durgapur, West Bengal",23.5350475,87.3380425,"unnamed road, Paschim Bardhaman, Durgapur - 713200, West Bengal, India",Paschim Bardhaman
Chhattisgarh,Unknown,2020,January,Tuesday,19:34,Fatal,5,Cycle,0,2,Rainy,Village Road,Wet,Daylight,Signs,82,48,Male,Valid,Yes,Curve,"Unknown, Chhattisgarh",21.5,82.0,"unnamed road, Baloda Bazar, - 493196, Chhattisgarh, India",Baloda Bazar
Himachal Pradesh,Unknown,2019,October,Wednesday,5:0,Serious,2,Car,2,5,Stormy,Village Road,Under Construction,Daylight,Signs,108,37,Female,,Yes,Intersection,"Unknown, Himachal Pradesh",32.176123,76.6980857,"Unknown Tea Shop, Jalsu Binwa Stream, Kangra, -, Himachal Pradesh, India",Jalsu Binwa Stream
Gujarat,Ahmedabad,2023,May,Sunday,4:33,Minor,4,Auto-Rickshaw,9,4,Hazy,National Highway,Dry,Dusk,,41,49,Female,Valid,No,Curve,"Ahmedabad, Gujarat",23.0215374,72.5800568,"Dargah, Swami Vivekananda Road, Khadia, Ahmedabad - 380001, Gujarat, India",Swami Vivekananda Road
Gujarat,Ahmedabad,2019,December,Wednesday,0:26,Fatal,4,Two-Wheeler,3,5,Rainy,State Highway,Wet,Dusk,,61,51,Female,,No,Intersection,"Ahmedabad, Gujarat",23.0215374,72.5800568,"Dargah, Swami Vivekananda Road, Khadia, Ahmedabad - 380001, Gujarat, India",Swami Vivekananda Road
Uttar Pradesh,Kanpur,2018,May,Thursday,18:57,Minor,2,Two-Wheeler,6,2,Rainy,National Highway,Wet,Dusk,,109,30,Male,Valid,No,Bridge,"Kanpur, Uttar Pradesh",26.4609135,80.3217588,"Kalpi Road, Kanpur Nagar, Kanpur - 208022, Uttar Pradesh, India",Kanpur Nagar
Odisha,Unknown,2022,August,Tuesday,22:43,Fatal,4,Two-Wheeler,1,3,Foggy,National Highway,Under Construction,Daylight,,30,57,Male,Expired,No,Curve,"Unknown, Odisha",18.9668959,84.3684974,"Unknown Temple, Bhima point tracking Path, Gajapati, Burakhat, Odisha, India",Bhima point tracking Path
Uttarakhand,Unknown,2022,May,Sunday,9:10,Minor,5,Auto-Rickshaw,1,4,Hazy,State Highway,Damaged,Dawn,Police Checkpost,114,25,Female,,Yes,Straight Road,"Unknown, Uttarakhand",30.25,79.25,"Gopeshwar Road, Chamoli, Pipalsera - 246444, Uttarakhand, India",Chamoli
Chhattisgarh,Unknown,2021,April,Saturday,5:38,Serious,4,Pedestrian,6,4,Foggy,State Highway,Dry,Dusk,Signals,37,22,Male,Valid,Yes,Intersection,"Unknown, Chhattisgarh",21.5,82.0,"unnamed road, Baloda Bazar, - 493196, Chhattisgarh, India",Baloda Bazar
Karnataka,Mangalore,2020,October,Thursday,20:21,Serious,2,Bus,1,5,Hazy,State Highway,Under Construction,Dark,Signs,50,44,Male,Expired,No,Straight Road,"Mangalore, Karnataka",12.8698101,74.8430082,"Jos Alukkas Jewellers, Light House Hill Road, Attavar, Mangaluru - 575001, Karnataka, India",Light House Hill Road
Uttarakhand,Unknown,2022,February,Sunday,0:35,Serious,1,Car,8,1,Stormy,National Highway,Wet,Dark,Police Checkpost,89,20,Male,,No,Intersection,"Unknown, Uttarakhand",30.25,79.25,"Gopeshwar Road, Chamoli, Pipalsera - 246444, Uttarakhand, India",Chamoli
Arunachal Pradesh,Unknown,2023,February,Friday,22:31,Fatal,2,Two-Wheeler,9,2,Rainy,State Highway,Under Construction,Daylight,Police Checkpost,117,59,Male,,Yes,Bridge,"Unknown, Arunachal Pradesh",27.06,93.37,"Sangdupota (Basar Nello), Sangdupota Basar Nello Circle, India",Sangdupota Basar Nello Circle
West Bengal,Siliguri,2022,November,Tuesday,0:24,Fatal,5,Cycle,7,4,Rainy,State Highway,Wet,Dawn,Signs,45,56,Female,,No,Bridge,"Siliguri, West Bengal",26.7164127,88.4309916,"unnamed road, Darjeeling, Siliguri - 734001, West Bengal, India",Darjeeling
Chhattisgarh,Unknown,2018,April,Monday,7:9,Serious,3,Two-Wheeler,8,3,Foggy,State Highway,Dry,Dawn,,70,62,Female,Valid,Yes,Bridge,"Unknown, Chhattisgarh",21.5,82.0,"unnamed road, Baloda Bazar, - 493196, Chhattisgarh, India",Baloda Bazar
Haryana,Unknown,2021,August,Sunday,8:33,Fatal,1,Two-Wheeler,6,4,Hazy,State Highway,Dry,Dark,Signals,60,56,Female,,No,Intersection,"Unknown, Haryana",28.4154906,77.0919333,"Fountain of the unknown, CRPF Road, Brahma City, Gurugram - 122011, Haryana, India",CRPF Road
Andhra Pradesh,Vijayawada,2022,January,Monday,7:51,Minor,1,Pedestrian,0,0,Clear,National Highway,Dry,Dawn,,95,51,Female,Expired,No,Bridge,"Vijayawada, Andhra Pradesh",16.5115306,80.6160469,"Kaleswara Rao Flyover, 1 Town, Vijayawada - 520001, Andhra Pradesh, India",1 Town
Assam,Unknown,2023,June,Saturday,6:10,Fatal,2,Bus,6,0,Clear,Urban Road,Dry,Dusk,Signals,31,54,Female,Expired,No,Straight Road,"Unknown, Assam",26.492533,92.3308789,"unnamed road, Marigaon, -, Assam, India",Marigaon
Himachal Pradesh,Unknown,2018,October,Saturday,10:6,Minor,1,Cycle,6,3,Foggy,Village Road,Damaged,Dawn,,85,55,Male,Valid,No,Intersection,"Unknown, Himachal Pradesh",32.176123,76.6980857,"Unknown Tea Shop, Jalsu Binwa Stream, Kangra, -, Himachal Pradesh, India",Jalsu Binwa Stream
Odisha,Unknown,2019,June,Thursday,21:56,Fatal,5,Two-Wheeler,2,3,Hazy,Village Road,Dry,Daylight,Police Checkpost,110,48,Male,Valid,Yes,Curve,"Unknown, Odisha",18.9668959,84.3684974,"Unknown Temple, Bhima point tracking Path, Gajapati, Burakhat, Odisha, India",Bhima point tracking Path
Telangana,Unknown,2019,August,Saturday,10:54,Serious,3,Bus,3,2,Foggy,National Highway,Wet,Dawn,Signs,90,66,Male,Valid,No,Intersection,"Unknown, Telangana",17.83333,79.08333,"Jangaon, Bonakallur - 500010, Telangana, India",Bonakallur - 500010
Uttarakhand,Unknown,2021,February,Thursday,20:23,Serious,1,Auto-Rickshaw,5,0,Foggy,Urban Road,Wet,Dark,,61,35,Male,Expired,No,Straight Road,"Unknown, Uttarakhand",30.25,79.25,"Gopeshwar Road, Chamoli, Pipalsera - 246444, Uttarakhand, India",Chamoli
Goa,Unknown,2018,February,Saturday,15:1,Fatal,3,Auto-Rickshaw,0,4,Clear,Village Road,Damaged,Dawn,,35,23,Female,,Yes,Curve,"Unknown, Goa",44.4264,8.91519,"Emanuelli Simoncini - Materiali edili, Via Bari, 16134 Genoa Genoa, Italy",Via Bari
Chandigarh,Unknown,2023,August,Wednesday,17:55,Fatal,4,Auto-Rickshaw,2,5,Rainy,Village Road,Damaged,Dusk,Police Checkpost,85,65,Male,Valid,No,Straight Road,"Unknown, Chandigarh",30.73629,76.7884,"unnamed road, Sector 18, Chandigarh - 160018, Chandigarh, India",Sector 18
Assam,Unknown,2023,April,Sunday,5:27,Fatal,2,Pedestrian,0,0,Stormy,State Highway,Wet,Daylight,Signals,99,59,Female,Valid,No,Intersection,"Unknown, Assam",26.492533,92.3308789,"unnamed road, Marigaon, -, Assam, India",Marigaon
Odisha,Unknown,2018,May,Wednesday,0:29,Serious,3,Pedestrian,0,3,Hazy,Urban Road,Wet,Dusk,,30,41,Female,,No,Intersection,"Unknown, Odisha",18.9668959,84.3684974,"Unknown Temple, Bhima point tracking Path, Gajapati, Burakhat, Odisha, India",Bhima point tracking Path
Mizoram,Unknown,2018,June,Friday,16:53,Serious,4,Truck,0,2,Hazy,Village Road,Dry,Dark,,97,68,Male,,Yes,Intersection,"Unknown, Mizoram",23.4420261,92.9982011,"Dirt path, Serchhip, -, Mizoram, India",Serchhip
Gujarat,Vadodara,2023,March,Wednesday,13:40,Fatal,3,Truck,2,3,Foggy,Urban Road,Wet,Dawn,Signs,105,59,Male,Expired,No,Intersection,"Vadodara, Gujarat",22.2973142,73.1942567,"unnamed road, Manjalpur, Vadodara - 390001, Gujarat, India",Manjalpur
Meghalaya,Unknown,2018,April,Tuesday,2:42,Serious,5,Auto-Rickshaw,6,2,Hazy,State Highway,Under Construction,Dawn,Signs,94,45,Female,Expired,Yes,Straight Road,"Unknown, Meghalaya",25.5,91.33333,"West Khasi Hills, Nongstoin - 793119, Meghalaya, India",Nongstoin - 793119
Karnataka,Mysore,2019,October,Monday,5:10,Minor,4,Bus,10,2,Stormy,Village Road,Wet,Dark,,44,42,Female,,Yes,Bridge,"Mysore, Karnataka",12.3051828,76.6553609,"Mysore Palace, Sayyaji Rao Road, Vani Vilas, Mysuru - 570001, Karnataka, India",Sayyaji Rao Road
Uttarakhand,Unknown,2020,April,Saturday,16:57,Minor,3,Bus,6,2,Clear,State Highway,Wet,Dark,Police Checkpost,66,25,Female,Expired,Yes,Straight Road,"Unknown, Uttarakhand",30.25,79.25,"Gopeshwar Road, Chamoli, Pipalsera - 246444, Uttarakhand, India",Chamoli
Delhi,Dwarka,2018,January,Tuesday,4:43,Serious,5,Two-Wheeler,1,4,Rainy,State Highway,Under Construction,Dusk,,77,63,Female,,Yes,Intersection,"Dwarka, Delhi",28.6149362,77.0227628,"Dwarka (Blue Line), स्वतंत्रता सेनानी श्री छोटू मार्ग, South West Delhi, Dwarka - 110078, Delhi, India",स्वतंत्रता सेनानी श्री छोटू मार्ग
Jharkhand,Unknown,2022,April,Thursday,0:43,Fatal,4,Cycle,10,3,Clear,State Highway,Dry,Dark,Police Checkpost,38,57,Female,,Yes,Straight Road,"Unknown, Jharkhand",23.75,85.5,"unnamed road, Ramgarh, - 825316, Jharkhand, India",Ramgarh
Assam,Unknown,2020,April,Saturday,19:42,Minor,1,Car,3,2,Clear,Village Road,Damaged,Dark,Signals,43,60,Female,,No,Straight Road,"Unknown, Assam",26.492533,92.3308789,"unnamed road, Marigaon, -, Assam, India",Marigaon
Jammu and Kashmir,Unknown,2023,February,Saturday,9:18,Fatal,1,Cycle,3,1,Clear,National Highway,Dry,Dusk,Signals,41,62,Male,,No,Bridge,"Unknown, Jammu and Kashmir",33.91667,76.66667,"Rangdun-Lingshed, Sham Valley, -, Ladakh, India",Sham Valley
Punjab,Unknown,2018,April,Tuesday,15:40,Serious,5,Car,1,3,Stormy,National Highway,Dry,Dark,Police Checkpost,30,49,Female,,No,Curve,"Unknown, Punjab",30.86017,72.31976,"Faisalabad Division, unnamed road, Toba Tek Singh Tehsil, Punjab, Pakistan",unnamed road
Jammu and Kashmir,Unknown,2023,December,Friday,17:12,Fatal,5,Cycle,10,3,Rainy,Urban Road,Under Construction,Dark,Signals,68,61,Female,Expired,Yes,Intersection,"Unknown, Jammu and Kashmir",33.91667,76.66667,"Rangdun-Lingshed, Sham Valley, -, Ladakh, India",Sham Valley
Gujarat,Vadodara,2018,August,Thursday,9:3,Minor,4,Pedestrian,10,0,Foggy,National Highway,Dry,Dawn,Signals,74,21,Female,Expired,No,Bridge,"Vadodara, Gujarat",22.2973142,73.1942567,"unnamed road, Manjalpur, Vadodara - 390001, Gujarat, India",Manjalpur
Maharashtra,Nagpur,2019,June,Monday,16:44,Minor,2,Car,5,5,Hazy,State Highway,Under Construction,Dawn,Signals,101,45,Female,,Yes,Bridge,"Nagpur, Maharashtra",21.1498134,79.0820556,"Vasantrao Naik Government Institute of Arts and Social Sciences, NH53, Ramdaspeth, Nagpur - 440001, Maharashtra, India",NH53
Manipur,Unknown,2020,May,Sunday,8:53,Minor,5,Two-Wheeler,10,1,Hazy,Urban Road,Wet,Daylight,Signals,33,24,Female,Valid,Yes,Bridge,"Unknown, Manipur",25.0,94.0,"unnamed road, Kangpokpi district, Maibung Likli - 795118, Manipur, India",Kangpokpi district
Maharashtra,Nagpur,2023,May,Wednesday,12:2,Fatal,4,Two-Wheeler,7,1,Hazy,Urban Road,Under Construction,Dusk,Signs,57,49,Female,Expired,No,Straight Road,"Nagpur, Maharashtra",21.1498134,79.0820556,"Vasantrao Naik Government Institute of Arts and Social Sciences, NH53, Ramdaspeth, Nagpur - 440001, Maharashtra, India",NH53
Chandigarh,Unknown,2020,October,Wednesday,17:6,Minor,1,Car,1,1,Rainy,Village Road,Damaged,Dusk,,43,60,Male,Expired,Yes,Curve,"Unknown, Chandigarh",30.73629,76.7884,"unnamed road, Sector 18, Chandigarh - 160018, Chandigarh, India",Sector 18
Madhya Pradesh,Unknown,2022,July,Sunday,2:57,Minor,1,Car,8,2,Hazy,Urban Road,Dry,Dawn,Signs,81,18,Female,Expired,Yes,Intersection,"Unknown, Madhya Pradesh",21.8464578,79.9459294,"Unknown, Waraseoni Tahsil, India",Waraseoni Tahsil
Bihar,Unknown,2023,March,Monday,3:27,Fatal,4,Bus,1,1,Hazy,Village Road,Dry,Dusk,Signals,67,63,Female,Expired,No,Bridge,"Unknown, Bihar",47.053215,21.9345955,"Statue of the Unknown Soldier, Piața 1 Decembrie, 410068 Oradea, Romania",Piața 1 Decembrie
