State Name,Year,Month,Day of Week,Accident Severity,Number of Vehicles Involved,Vehicle Type Involved,Number of Casualties,Number of Fatalities,Weather Conditions,Road Type,Road Condition,Lighting Conditions,Speed Limit (km/h),Driver Age,Driver Gender,Accident Location Details,Time_of_Day_Numerical,Alcohol Involvement_Yes
Odisha,2019,5,4,2,5,7,2,3,7,6,1,1,110,48,1,7,78960,1
Telangana,2019,5,6,1,3,4,3,2,4,5,2,4,90,66,1,1,39240,0
Uttarakhand,2021,5,4,1,1,7,5,0,4,6,2,2,61,35,1,8,73380,0
Goa,2018,5,6,2,3,7,0,4,1,6,6,4,35,23,2,7,54060,1
Chandigarh,2023,5,3,2,4,7,2,5,2,6,6,3,85,65,1,8,64500,0
Assam,2023,5,7,2,2,6,0,0,7,4,2,1,99,59,2,1,19620,0
Odisha,2018,5,3,1,3,6,0,3,7,6,2,3,30,41,2,1,1740,0
Mizoram,2018,5,5,1,4,2,0,2,7,6,1,2,97,68,1,1,60780,1
Gujarat,2023,5,3,2,3,2,2,3,4,6,2,4,105,59,1,1,49200,0
Meghalaya,2018,5,2,1,5,7,6,2,7,4,5,4,94,45,2,8,9720,1
Karnataka,2019,5,1,0,4,4,10,2,7,6,2,2,44,42,2,4,18600,1
Uttarakhand,2020,5,6,0,3,4,6,2,1,4,2,2,66,25,2,8,61020,1
Delhi,2018,5,2,1,5,7,1,4,2,4,5,3,77,63,2,1,16980,1
Jharkhand,2022,5,4,2,4,8,10,3,1,4,1,2,38,57,2,8,2580,1
Assam,2020,5,6,0,1,1,3,2,1,6,6,2,43,60,2,8,70920,0
Jammu and Kashmir,2023,5,6,2,1,8,3,1,1,5,1,3,41,62,1,4,33480,0
Punjab,2018,5,2,1,5,1,1,3,7,5,1,2,30,49,2,7,56400,0
Jammu and Kashmir,2023,5,5,2,5,8,10,3,2,6,5,2,68,61,2,1,61920,1
Gujarat,2018,5,4,0,4,6,10,0,4,5,1,4,74,21,2,4,32580,0
Maharashtra,2019,5,1,0,2,1,5,5,7,4,5,4,101,45,2,4,60240,1
Manipur,2020,5,7,0,5,7,10,1,7,6,2,1,33,24,2,4,31980,1
Maharashtra,2023,5,3,2,4,7,7,1,7,6,5,3,57,49,2,8,43320,0
Chandigarh,2020,5,3,0,1,1,1,1,2,6,6,3,43,60,1,7,61560,1
Madhya Pradesh,2022,5,7,0,1,1,8,2,7,6,1,4,81,18,2,1,10620,1
Bihar,2023,5,1,2,4,4,1,1,7,6,1,3,67,63,2,4,12420,0
Tripura,2022,5,6,2,4,8,6,0,4,4,5,3,98,64,2,7,9300,1
Madhya Pradesh,2018,5,2,1,2,4,4,3,1,6,5,1,73,18,2,7,40620,0
Jharkhand,2021,5,2,0,2,4,3,0,7,6,1,3,95,36,1,1,83880,1
Assam,2022,5,6,0,2,4,4,4,7,6,6,2,82,27,2,4,45060,1
Punjab,2018,5,7,1,1,8,3,1,2,6,2,1,74,57,1,7,53100,0
Nagaland,2018,5,5,2,3,7,7,3,7,6,6,4,47,37,1,7,33420,0
Uttar Pradesh,2020,5,6,0,4,1,5,3,1,5,6,1,36,34,2,7,5340,0
Gujarat,2022,5,7,1,1,7,3,3,2,4,5,1,59,55,2,4,44760,1
Tripura,2020,5,1,1,5,8,10,5,2,5,1,3,37,40,2,8,60000,0
Assam,2020,5,6,0,2,1,1,2,7,6,6,3,73,61,2,7,43620,1
Karnataka,2020,5,2,2,2,1,9,0,4,6,1,3,60,58,1,8,45960,1
Telangana,2023,5,7,0,1,1,6,3,7,4,1,4,84,52,1,4,47520,0
Tripura,2020,5,7,2,4,7,4,4,1,4,1,1,100,62,1,1,39060,0
Andhra Pradesh,2019,5,6,1,4,8,5,3,2,4,2,3,98,44,1,1,22260,0
Kerala,2022,5,1,0,3,7,10,3,1,6,5,3,86,30,1,7,19200,1
Jammu and Kashmir,2019,5,7,1,1,1,0,0,7,5,1,1,50,20,1,4,28200,1
Goa,2020,5,7,2,1,7,8,5,7,6,2,2,49,51,2,7,57000,1
Gujarat,2023,5,3,1,4,6,5,4,7,6,2,1,102,29,1,7,36780,0
Uttarakhand,2021,5,4,2,2,4,2,2,7,6,6,1,86,27,1,8,19740,1
Meghalaya,2019,5,5,2,5,4,2,4,7,5,1,3,103,64,1,8,74580,0
Manipur,2022,5,6,0,4,1,8,4,4,6,5,2,41,37,1,8,40920,1
Chhattisgarh,2020,5,5,2,4,7,3,5,1,4,6,3,111,59,1,7,67380,0
Karnataka,2022,5,2,1,4,7,9,4,7,6,2,3,92,20,2,1,81420,0
Manipur,2021,5,3,2,5,6,4,5,4,6,5,2,32,26,1,1,13200,1
Jharkhand,2019,5,3,0,1,7,10,5,7,5,5,3,50,61,2,7,29760,0
Mizoram,2021,5,1,1,3,2,9,5,2,4,5,3,83,34,2,1,13800,1
Chandigarh,2018,5,2,2,5,7,5,0,7,4,6,3,120,22,1,1,66240,0
Punjab,2023,5,5,0,3,2,0,0,1,5,1,3,66,50,1,1,8400,1
Tripura,2023,5,3,1,4,7,0,1,1,6,1,4,69,24,1,8,48000,0
Telangana,2020,5,1,0,5,7,10,1,7,6,6,3,73,50,1,7,11940,1
Karnataka,2022,5,7,2,3,4,8,4,2,5,2,1,86,37,1,7,62700,0
Madhya Pradesh,2023,5,1,2,4,8,3,1,2,4,2,3,81,45,2,1,78000,0
Chandigarh,2020,5,7,0,2,4,10,0,2,5,5,2,61,47,2,4,61740,0
Tamil Nadu,2019,5,5,0,3,4,10,4,7,5,2,1,35,31,2,1,79380,0
Delhi,2019,5,1,2,5,4,7,3,7,4,5,1,77,63,1,1,60240,0
Chhattisgarh,2018,5,3,2,1,4,1,2,1,6,2,1,119,49,2,4,37080,0
Puducherry,2022,5,3,1,5,8,10,5,7,6,5,2,30,39,1,4,16260,0
West Bengal,2018,5,6,1,1,4,0,3,2,4,5,4,88,53,1,1,72720,1
Tamil Nadu,2023,5,4,1,5,7,10,1,2,6,5,4,80,32,1,1,77220,1
Punjab,2019,5,2,0,5,6,4,4,7,6,2,4,49,57,2,1,80280,1
Karnataka,2020,5,4,1,2,8,8,2,2,6,2,1,96,43,1,1,24540,1
Nagaland,2020,5,7,1,3,8,0,4,4,5,1,1,79,54,2,1,74940,1
Maharashtra,2019,5,1,2,3,6,2,2,1,5,2,2,35,55,1,4,72240,1
Meghalaya,2022,5,4,2,5,4,10,2,1,6,6,4,95,18,2,7,17220,1
Karnataka,2023,5,7,1,3,7,5,3,2,5,2,2,31,42,2,8,84780,0
Haryana,2023,5,7,0,1,8,9,0,4,6,1,3,70,50,2,7,21660,0
Tamil Nadu,2018,5,5,0,1,2,9,1,7,4,6,1,55,67,1,8,80340,0
Sikkim,2022,5,4,1,2,1,0,5,4,4,2,2,107,45,2,4,79620,0
Bihar,2021,5,2,2,5,1,10,4,7,4,5,2,44,34,1,7,24240,0
Odisha,2019,5,5,1,2,7,4,4,7,6,6,2,68,43,1,7,29940,1
Telangana,2019,5,5,1,1,1,1,5,7,6,2,4,53,18,2,1,73200,0
Andhra Pradesh,2021,5,4,0,4,4,5,4,1,4,5,4,119,29,1,7,28020,0
Chhattisgarh,2019,5,5,0,4,7,0,2,4,6,1,3,56,61,2,1,1260,0
Madhya Pradesh,2019,5,4,1,1,1,1,0,7,4,1,1,117,21,1,7,37860,0
Assam,2021,5,7,2,2,6,5,5,2,4,5,1,52,51,2,7,84300,0
Nagaland,2018,5,1,0,1,6,0,1,4,5,5,2,53,48,2,7,29760,1
Karnataka,2020,5,1,2,1,7,6,1,2,6,2,1,54,29,1,8,8460,1
Chandigarh,2021,5,4,0,3,2,0,3,1,6,2,1,119,51,1,4,85680,1
Arunachal Pradesh,2018,5,7,2,4,8,4,1,7,5,5,1,101,35,1,7,15060,1
Puducherry,2018,5,5,0,3,2,0,0,1,5,5,2,86,62,2,7,46560,0
Gujarat,2021,5,6,2,5,1,5,1,7,5,5,2,56,70,2,4,24720,0
Tamil Nadu,2022,5,6,1,1,2,3,2,7,6,5,4,69,41,1,7,53640,1
Assam,2022,5,6,0,5,7,8,2,4,5,6,1,54,43,2,1,28200,1
Jharkhand,2018,5,6,1,3,4,9,0,1,4,6,2,38,59,2,8,8940,0
Meghalaya,2020,5,7,1,1,8,6,5,7,4,5,2,54,51,1,4,51360,0
Bihar,2019,5,2,0,5,1,9,1,7,5,1,1,67,58,1,8,73200,1
Manipur,2020,5,1,2,1,1,3,3,1,4,5,1,69,40,1,1,78720,0
Uttarakhand,2019,5,3,1,4,4,4,5,7,4,1,1,69,44,2,7,71400,0
Delhi,2018,5,6,1,3,6,9,0,1,5,6,3,90,48,1,1,74280,1
Bihar,2019,5,6,2,1,7,5,1,7,6,5,1,35,62,2,1,21840,0
Tripura,2019,5,5,0,1,1,10,1,2,5,5,4,118,44,2,7,26100,0
Haryana,2023,5,3,1,2,2,9,0,2,6,1,4,75,61,1,4,9360,0
Telangana,2019,5,4,0,2,6,1,2,7,6,5,4,116,62,1,7,74820,1
Rajasthan,2018,5,6,1,3,7,3,0,7,6,1,3,120,51,2,4,51240,1
Puducherry,2019,5,3,0,1,4,3,1,7,5,1,2,73,53,1,7,55260,0
Puducherry,2023,5,7,2,5,8,2,0,7,4,2,3,40,35,2,4,43920,0
Madhya Pradesh,2019,5,6,0,5,7,1,3,7,6,1,3,31,43,1,4,45960,0
Uttar Pradesh,2023,5,5,0,1,1,4,4,7,6,2,2,45,40,1,4,55080,0
Assam,2019,5,7,1,3,2,7,0,1,5,5,2,100,31,2,4,75300,0
Chandigarh,2019,5,4,1,3,2,2,0,1,6,1,3,64,36,1,7,63600,1
Himachal Pradesh,2023,5,5,0,3,7,3,1,1,6,5,2,78,63,1,7,20160,1
Sikkim,2021,5,6,1,5,6,0,0,1,6,5,2,91,67,1,4,17820,0
Odisha,2020,5,1,2,5,2,9,0,1,6,1,1,66,61,2,8,8640,1
Tamil Nadu,2023,5,7,2,2,8,9,5,4,4,5,2,34,51,2,7,17160,0
Karnataka,2020,5,1,2,5,8,1,1,2,6,6,1,73,64,2,1,69840,0
Delhi,2018,5,7,0,5,4,6,4,4,5,1,3,67,67,1,4,64740,0
Madhya Pradesh,2023,5,6,0,4,4,9,0,2,6,5,2,108,47,1,7,83460,1
Puducherry,2020,5,2,0,5,6,8,1,4,5,6,2,65,67,2,4,74100,0
Kerala,2020,5,6,2,4,8,9,3,2,5,1,1,78,62,1,7,48420,1
Assam,2020,5,6,2,2,6,0,2,7,5,6,1,49,60,2,1,13680,0
Delhi,2022,5,4,0,2,7,0,0,2,4,6,3,87,49,1,8,33300,1
Haryana,2020,5,1,2,2,4,3,4,1,6,5,3,91,35,2,7,73440,1
Punjab,2023,5,6,0,5,6,5,4,1,6,2,2,111,58,1,1,36840,0
Assam,2020,5,7,1,5,8,4,4,4,6,6,2,99,58,2,7,84120,0
Odisha,2023,5,3,2,5,8,4,4,4,5,6,3,58,47,1,8,22440,0
Chhattisgarh,2023,5,2,2,1,7,2,5,7,6,1,1,117,50,1,8,61800,0
Sikkim,2018,5,6,1,2,7,3,2,2,4,2,3,40,48,2,7,21180,1
Mizoram,2019,5,1,0,4,8,6,5,4,6,5,1,35,47,2,8,20100,1
West Bengal,2018,5,4,1,1,7,8,0,7,6,5,1,48,28,1,4,13200,0
Bihar,2019,5,7,0,3,2,7,4,7,5,5,1,118,22,2,8,19140,1
Tripura,2018,5,3,1,5,8,1,4,1,5,6,2,53,26,1,1,360,1
West Bengal,2021,5,6,0,3,7,0,2,1,4,5,2,38,69,1,1,12600,0
Rajasthan,2023,5,2,0,5,1,6,4,1,6,2,3,62,38,2,8,79200,1
Tripura,2018,5,3,1,1,4,8,3,4,5,6,4,90,43,2,7,72720,0
Bihar,2021,5,7,2,3,4,9,3,4,5,2,1,40,40,2,1,73020,0
Rajasthan,2022,5,2,1,4,1,6,3,7,6,5,4,51,47,1,1,44700,0
Jharkhand,2023,5,2,2,5,7,2,0,7,4,2,4,83,40,2,7,25320,0
Delhi,2023,5,2,1,3,6,6,3,1,5,6,1,55,64,1,8,81420,1
Punjab,2018,5,1,0,4,1,1,3,7,6,2,2,106,45,2,1,3240,1
Sikkim,2020,5,6,0,5,6,5,2,7,4,5,2,120,40,2,4,14940,0
Tamil Nadu,2018,5,2,0,4,6,9,2,4,6,5,3,117,60,2,8,46680,1
Uttarakhand,2020,5,1,2,1,7,3,0,7,6,5,4,50,29,2,7,48840,1
Himachal Pradesh,2020,5,1,0,4,4,5,0,2,5,6,1,32,60,2,1,10980,1
Gujarat,2022,5,3,2,1,8,9,1,7,4,6,3,32,23,1,1,55020,1
Uttar Pradesh,2018,5,2,1,2,1,7,0,7,4,1,3,106,22,1,7,70920,0
Madhya Pradesh,2020,5,7,1,5,7,6,1,7,6,5,4,34,38,2,8,52920,0
Karnataka,2019,5,2,2,3,8,6,2,7,4,6,2,41,22,2,7,44460,0
Manipur,2019,5,5,0,5,2,1,4,7,6,2,1,120,67,2,8,7260,0
Madhya Pradesh,2019,5,4,1,2,8,8,2,1,6,5,3,84,66,1,7,29940,0
Uttarakhand,2021,5,7,0,4,1,9,4,7,4,5,1,49,53,2,7,49440,1
Jammu and Kashmir,2021,5,5,0,1,7,2,3,7,6,5,3,79,54,1,8,42720,0
Goa,2022,5,5,2,4,7,9,4,7,6,2,1,95,27,2,1,75900,0
Uttarakhand,2021,5,2,2,5,8,1,2,2,6,6,1,105,58,2,8,2460,1
Chhattisgarh,2021,5,5,0,1,7,0,2,7,4,6,1,111,36,1,1,15840,1
Maharashtra,2021,5,4,0,2,7,9,3,7,6,2,1,75,44,1,1,49980,0
Maharashtra,2021,5,1,1,3,7,8,0,7,6,6,2,50,40,1,8,3840,1
Manipur,2022,5,6,2,4,4,0,3,1,6,1,4,98,27,1,8,360,0
Himachal Pradesh,2023,5,2,0,3,7,3,3,7,6,6,2,93,22,1,1,18840,0
Delhi,2021,5,4,1,1,2,10,0,7,5,6,3,102,63,2,8,72900,1
Nagaland,2021,5,3,0,1,7,2,1,4,4,1,1,38,69,2,1,51540,0
Karnataka,2023,5,5,1,3,7,7,3,1,6,2,2,118,47,2,7,76680,1
Manipur,2022,5,3,1,5,6,9,1,7,6,6,1,120,28,2,1,61680,1
Meghalaya,2021,5,6,2,4,7,2,4,7,5,6,1,99,50,2,8,82380,1
Telangana,2019,5,3,0,2,2,8,0,7,6,6,4,30,20,1,8,34380,1
Arunachal Pradesh,2021,5,1,0,5,8,1,2,2,6,5,4,43,67,1,7,47040,1
Goa,2019,5,4,0,2,1,3,5,1,6,6,2,62,50,1,1,58020,0
Punjab,2021,5,6,1,2,2,1,0,7,6,5,4,67,33,2,8,69540,1
Bihar,2023,5,4,0,2,1,7,4,7,4,1,4,54,26,2,4,59160,0
Goa,2021,5,5,0,1,6,10,3,2,5,2,1,97,45,1,4,40560,0
Haryana,2023,5,3,0,1,8,7,4,2,6,6,1,68,19,1,8,49680,0
Gujarat,2020,5,7,0,2,7,10,2,4,4,6,3,110,38,2,4,62700,1
Nagaland,2021,5,3,2,5,7,5,0,2,4,2,2,35,62,1,4,81900,0
Manipur,2021,5,3,1,2,2,3,3,4,4,5,2,42,38,1,1,3240,1
Kerala,2021,5,5,1,2,7,10,4,7,5,1,1,100,30,1,7,61260,0
Goa,2019,5,3,1,2,8,0,4,4,6,1,2,109,48,1,8,53940,0
Sikkim,2021,5,4,1,1,7,0,4,1,4,2,3,59,60,1,8,47460,1
Puducherry,2023,5,3,1,3,7,4,2,1,6,5,2,86,67,2,8,77580,0
Arunachal Pradesh,2019,5,4,2,3,6,7,0,2,6,5,1,75,66,2,7,41580,1
Uttar Pradesh,2021,5,2,1,2,4,2,2,1,6,6,4,49,50,2,8,76140,0
Goa,2019,5,1,2,5,6,5,1,4,4,5,2,106,49,2,8,17100,0
Jharkhand,2023,5,1,1,2,7,6,5,2,4,6,2,118,25,1,4,33720,0
West Bengal,2020,5,4,2,4,7,8,4,7,5,2,4,112,38,2,4,49320,1
Odisha,2018,5,4,1,4,7,9,3,4,5,5,2,88,19,1,7,59760,0
Punjab,2020,5,1,1,5,2,2,4,7,4,2,3,85,52,1,4,29340,1
Jharkhand,2020,5,1,1,1,6,6,2,7,4,2,1,46,37,1,4,30660,1
Bihar,2023,5,2,0,5,2,0,4,7,6,2,2,45,32,1,8,32100,1
Nagaland,2019,5,4,1,5,7,1,5,4,5,6,2,62,39,1,8,26940,0
Jharkhand,2023,5,4,0,1,1,0,1,1,6,1,1,65,19,2,8,80820,1
Kerala,2022,5,2,1,4,6,10,0,7,4,5,4,66,23,2,7,420,0
Sikkim,2021,5,3,0,4,4,4,3,7,6,2,3,91,47,1,4,0,0
Telangana,2022,5,3,2,3,7,6,1,1,5,1,1,46,44,1,7,59880,1
Goa,2018,5,2,0,1,8,1,2,1,5,2,3,119,40,2,4,24840,1
Karnataka,2019,5,3,1,1,7,9,3,7,6,2,2,57,39,2,1,61860,1
West Bengal,2018,5,5,2,4,1,10,2,4,6,5,1,115,32,1,1,61800,0
Karnataka,2018,5,7,1,5,7,10,5,1,6,1,1,85,48,2,4,85560,0
Jammu and Kashmir,2022,5,6,1,4,7,3,5,7,5,5,3,103,29,1,7,8580,0
Chandigarh,2021,5,5,1,1,7,2,3,1,5,2,1,46,27,2,4,51600,0
Madhya Pradesh,2020,5,7,0,4,7,7,5,1,5,5,4,81,35,2,8,72300,1
Odisha,2021,5,5,0,3,7,9,4,7,6,6,1,31,58,1,4,33180,0
Rajasthan,2022,5,5,0,3,7,9,0,1,4,2,1,90,65,1,4,38040,1
Uttarakhand,2018,5,5,1,5,8,3,0,7,4,6,3,61,18,1,4,24000,1
Uttarakhand,2022,5,1,1,3,7,1,3,1,6,5,2,66,54,1,4,84720,1
Kerala,2020,5,4,1,3,4,3,3,1,5,1,2,44,56,2,1,71640,0
Madhya Pradesh,2022,5,3,2,3,6,9,3,1,6,5,1,69,61,2,7,73860,1
Meghalaya,2022,5,4,1,5,6,8,3,7,4,2,1,98,51,1,1,11400,0
Himachal Pradesh,2020,5,2,1,5,1,4,1,7,6,6,3,37,68,1,8,4080,0
Karnataka,2022,5,5,2,4,7,1,0,1,6,2,4,39,40,2,8,72720,1
Goa,2019,5,5,1,3,7,0,2,2,6,5,4,60,34,2,1,43200,1
Tamil Nadu,2019,5,1,0,5,7,1,5,1,6,6,1,61,52,2,4,67200,0
Telangana,2020,5,1,2,3,8,0,5,7,5,5,4,54,50,1,7,29220,1
Tripura,2020,5,5,0,5,6,8,1,2,5,6,3,82,61,2,1,23820,0
West Bengal,2018,5,5,2,4,2,5,0,7,4,2,3,76,26,1,4,30660,1
Meghalaya,2021,5,7,1,3,4,8,1,4,5,6,4,116,24,1,7,14880,0
Telangana,2021,5,5,1,2,7,4,3,1,5,1,1,60,56,2,7,79440,0
West Bengal,2020,5,6,2,2,1,10,4,4,5,5,1,103,51,1,1,23220,1
Madhya Pradesh,2019,5,7,2,3,4,0,2,1,6,1,1,32,70,1,8,61920,1
Sikkim,2021,5,5,2,5,4,7,4,7,5,2,2,109,61,2,8,77520,1
Goa,2019,5,3,0,1,8,3,1,7,6,6,3,62,62,1,4,51960,0
Chandigarh,2019,5,4,1,2,4,5,3,7,6,1,4,46,51,1,1,83100,1
Jharkhand,2020,5,3,1,2,7,1,2,2,6,5,3,70,46,1,1,45960,0
Uttarakhand,2022,5,7,2,3,4,0,2,7,6,6,4,87,58,2,4,24780,1
Tamil Nadu,2021,5,3,2,3,4,5,4,1,4,6,3,67,51,2,4,31080,0
Maharashtra,2022,5,2,0,5,1,9,1,7,6,2,3,105,59,2,8,840,1
Maharashtra,2019,5,2,2,3,4,4,5,4,6,1,2,120,31,2,1,48660,1
Andhra Pradesh,2022,5,2,1,1,8,5,3,7,5,2,3,112,20,1,7,34680,0
Delhi,2021,5,7,0,3,6,9,1,7,6,1,2,54,19,1,7,17460,1
Gujarat,2023,5,4,0,2,6,1,3,1,4,1,2,40,41,2,1,16740,0
Andhra Pradesh,2020,5,6,2,2,8,8,4,7,6,2,4,40,23,1,8,78360,0
Rajasthan,2021,5,1,0,5,7,5,0,2,5,6,2,65,42,1,4,3180,0
Assam,2023,5,2,1,4,2,7,0,4,6,5,1,103,70,2,7,720,1
Andhra Pradesh,2020,5,5,2,2,6,1,1,7,5,5,2,32,70,1,1,46980,1
Haryana,2022,5,4,1,5,8,8,1,1,6,6,2,37,25,1,4,53640,1
Goa,2021,5,1,2,4,7,7,4,4,6,1,2,114,50,2,1,30420,1
Arunachal Pradesh,2018,5,6,1,5,7,3,3,1,5,6,3,72,37,1,8,13500,1
Nagaland,2020,5,7,0,5,8,8,5,7,5,1,2,80,19,1,1,53880,1
West Bengal,2023,5,2,0,5,7,0,4,7,6,6,2,61,53,2,1,48960,0
Odisha,2019,5,4,1,1,1,6,0,7,4,1,4,90,69,2,4,54300,0
West Bengal,2023,5,6,2,1,4,7,4,7,4,1,1,71,31,1,4,780,1
Jammu and Kashmir,2023,5,7,2,2,2,9,4,7,5,5,2,88,59,2,1,53940,0
Chhattisgarh,2018,5,7,2,1,4,0,2,4,4,1,3,68,32,1,4,23580,1
Punjab,2018,5,6,0,1,7,2,4,7,6,6,4,42,57,2,8,25200,0
Manipur,2019,5,4,0,2,8,4,5,1,6,5,1,58,18,2,7,7440,0
West Bengal,2018,5,4,1,5,2,3,5,4,4,5,1,100,18,1,7,66660,0
Manipur,2019,5,3,1,4,6,3,3,2,6,5,1,111,31,2,8,47820,0
Himachal Pradesh,2023,5,7,2,1,8,2,4,4,4,2,3,89,58,1,7,54120,0
Delhi,2022,5,7,0,4,7,8,2,4,5,1,1,61,35,1,8,62040,0
Nagaland,2019,5,4,0,2,1,8,5,7,4,2,2,90,49,2,1,33840,0
